pattern,count,nodes,projected_energy,residual_norm,reachable_rank
side_patch,1,"(27,)",8750.985042385799,0.0003228566677846989,8
side_patch,2,"(27, 40)",13419.496673972579,0.00015609488180912958,15
side_patch,3,"(9, 27, 40)",9256.118637956799,5.413374525785207e-05,21
side_patch,4,"(9, 27, 40, 60)",727.4081669138615,2.001118024897814e-05,27
side_patch,5,"(9, 19, 27, 40, 60)",92.20527700775344,1.2864550326030771e-05,32
side_patch,6,"(8, 9, 19, 27, 40, 60)",42.659280043790126,5.660033715209338e-06,36
side_patch,7,"(8, 9, 19, 27, 34, 40, 60)",20.206688251978527,3.417868512945729e-06,41
side_patch,8,"(8, 9, 19, 27, 34, 40, 58, 60)",6.360086958242999,1.8013780708795398e-06,45
side_patch,9,"(8, 9, 19, 27, 34, 40, 48, 58, 60)",4.269723095457023,8.111744140020321e-07,48
side_patch,10,"(8, 9, 19, 21, 27, 34, 40, 48, 58, 60)",4.478360861779491,4.159905208889412e-07,52
side_patch,11,"(8, 9, 16, 19, 21, 27, 34, 40, 48, 58, 60)",2.5411845105088133,2.5662637528888537e-07,55
side_patch,12,"(8, 9, 16, 19, 21, 27, 34, 40, 41, 48, 58, 60)",0.7590844515561523,1.680577531038769e-07,58
side_patch,13,"(8, 9, 16, 19, 21, 27, 34, 40, 41, 48, 58, 60, 61)",0.7091793851866879,2.3723247491422565e-08,61
side_patch,14,"(8, 9, 16, 19, 21, 27, 34, 38, 40, 41, 48, 58, 60, 61)",0.5933106289808227,0.0,64
side_patch,15,"(8, 9, 12, 16, 19, 21, 27, 34, 38, 40, 41, 48, 58, 60, 61)",0.029684710929288254,0.0,64
side_patch,16,"(3, 8, 9, 12, 16, 19, 21, 27, 34, 38, 40, 41, 48, 58, 60, 61)",0.01553064494178937,0.0,64
corner_wound,1,"(1,)",156.63609015258422,4.346176076282951e-05,7
corner_wound,2,"(1, 8)",20.322623136929927,4.140985034257465e-06,13
corner_wound,3,"(1, 8, 9)",2.8697091563983848,1.4471369073988617e-06,18
corner_wound,4,"(1, 8, 9, 16)",2.0252714454308585,3.4405812453231563e-07,21
corner_wound,5,"(1, 8, 9, 16, 49)",2.103964333755832,1.4208847618333954e-07,28
corner_wound,6,"(1, 7, 8, 9, 16, 49)",1.964136571334274,1.0163868505258898e-07,34
corner_wound,7,"(1, 7, 8, 9, 16, 18, 49)",1.0246683587582823,9.117309218401365e-08,39
corner_wound,8,"(1, 7, 8, 9, 16, 18, 49, 58)",1.0137073303254838,5.5831347353644197e-08,44
corner_wound,9,"(1, 3, 7, 8, 9, 16, 18, 49, 58)",0.048290266705744885,3.7108861468707836e-08,47
corner_wound,10,"(1, 3, 7, 8, 9, 10, 16, 18, 49, 58)",0.00537602642545637,6.755722503468058e-09,49
corner_wound,11,"(1, 3, 7, 8, 9, 10, 16, 18, 45, 49, 58)",0.003963710894604259,6.190888855193092e-09,54
corner_wound,12,"(1, 3, 7, 8, 9, 10, 16, 18, 45, 49, 54, 58)",0.0039300195208326885,4.136587399366732e-09,58
corner_wound,13,"(1, 3, 7, 8, 9, 10, 16, 18, 45, 49, 54, 58, 61)",0.003861658552704861,2.456080072704077e-09,62
corner_wound,14,"(1, 3, 7, 8, 9, 10, 16, 18, 22, 45, 49, 54, 58, 61)",0.0018785799149941796,0.0,64
corner_wound,15,"(1, 3, 7, 8, 9, 10, 12, 16, 18, 22, 45, 49, 54, 58, 61)",0.0005160312166190488,0.0,64
corner_wound,16,"(1, 3, 7, 8, 9, 10, 12, 16, 18, 22, 26, 45, 49, 54, 58, 61)",0.00017150154539268607,0.0,64
central_lesion,1,"(3,)",23389336.340965264,0.002521232299707076,8
central_lesion,2,"(3, 19)",56827.67479659116,0.00024041397714762345,15
central_lesion,3,"(3, 4, 19)",57977.78425263547,6.8533521837452e-05,21
central_lesion,4,"(3, 4, 19, 28)",569.2886676561361,2.802625033027878e-05,26
central_lesion,5,"(3, 4, 19, 28, 35)",93.57683496934173,9.06559266308292e-06,32
central_lesion,6,"(3, 4, 12, 19, 28, 35)",37.128588103383265,2.7419721181099987e-06,37
central_lesion,7,"(3, 4, 12, 19, 28, 35, 46)",20.976721501534154,1.7121092949513907e-06,42
central_lesion,8,"(3, 4, 12, 19, 20, 28, 35, 46)",10.621392983672541,8.843729449060681e-07,46
central_lesion,9,"(3, 4, 12, 19, 20, 27, 28, 35, 46)",9.996855553188714,4.4948099315112087e-07,49
central_lesion,10,"(3, 4, 12, 19, 20, 27, 28, 35, 36, 46)",3.9004265750091207,2.649167862853188e-07,53
central_lesion,11,"(3, 4, 12, 19, 20, 23, 27, 28, 35, 36, 46)",3.6369815455312446,1.3162902836212404e-07,56
central_lesion,12,"(3, 4, 9, 12, 19, 20, 23, 27, 28, 35, 36, 46)",3.325024312278654,5.4820324533654495e-08,58
central_lesion,13,"(3, 4, 9, 12, 19, 20, 23, 27, 28, 35, 36, 46, 58)",1.3222459001908815,6.40753656140568e-09,63
central_lesion,14,"(3, 4, 9, 12, 19, 20, 23, 27, 28, 35, 36, 46, 51, 58)",0.3455814162140374,0.0,64
central_lesion,15,"(3, 4, 9, 12, 19, 20, 23, 27, 28, 35, 36, 44, 46, 51, 58)",0.11946052332273313,0.0,64
central_lesion,16,"(3, 4, 9, 12, 19, 20, 23, 27, 28, 33, 35, 36, 44, 46, 51, 58)",0.06380543069551806,0.0,64
