count,nodes,projected_energy,residual_norm,reachable_rank,trajectory
1,"(3,)",23389336.340965264,0.002521232299707076,8,from_empty
2,"(3, 19)",56827.67479659116,0.00024041397714762345,15,from_empty
3,"(3, 4, 19)",57977.78425263547,6.8533521837452e-05,21,from_empty
4,"(3, 4, 19, 28)",569.2886676561361,2.802625033027878e-05,26,from_empty
5,"(3, 4, 19, 28, 35)",93.57683496934173,9.06559266308292e-06,32,from_empty
6,"(3, 4, 12, 19, 28, 35)",37.128588103383265,2.7419721181099987e-06,37,from_empty
7,"(3, 4, 12, 19, 28, 35, 46)",20.976721501534154,1.7121092949513907e-06,42,from_empty
8,"(3, 4, 12, 19, 20, 28, 35, 46)",10.621392983672541,8.843729449060681e-07,46,from_empty
9,"(3, 4, 12, 19, 20, 27, 28, 35, 46)",9.996855553188714,4.4948099315112087e-07,49,from_empty
10,"(3, 4, 12, 19, 20, 27, 28, 35, 36, 46)",3.9004265750091207,2.649167862853188e-07,53,from_empty
11,"(3, 4, 12, 19, 20, 23, 27, 28, 35, 36, 46)",3.6369815455312446,1.3162902836212404e-07,56,from_empty
12,"(3, 4, 9, 12, 19, 20, 23, 27, 28, 35, 36, 46)",3.325024312278654,5.4820324533654495e-08,58,from_empty
13,"(3, 4, 9, 12, 19, 20, 23, 27, 28, 35, 36, 46, 58)",1.3222459001908815,6.40753656140568e-09,63,from_empty
14,"(3, 4, 9, 12, 19, 20, 23, 27, 28, 35, 36, 46, 51, 58)",0.3455814162140374,0.0,64,from_empty
15,"(3, 4, 9, 12, 19, 20, 23, 27, 28, 35, 36, 44, 46, 51, 58)",0.11946052332273313,0.0,64,from_empty
16,"(3, 4, 9, 12, 19, 20, 23, 27, 28, 33, 35, 36, 44, 46, 51, 58)",0.06380543069551806,0.0,64,from_empty
2,"(11, 20)",44511.861317042414,0.00018917766698283873,15,from_best_two
3,"(11, 20, 28)",3093.573362728377,3.0736116628165396e-05,21,from_best_two
4,"(11, 20, 28, 35)",25.92664208794324,6.441103025087672e-06,27,from_best_two
5,"(11, 20, 28, 29, 35)",19.26947822976459,2.1665226256121975e-06,31,from_best_two
6,"(11, 20, 28, 29, 35, 36)",9.6416378721141,4.512295229231068e-07,37,from_best_two
7,"(11, 20, 28, 29, 35, 36, 56)",9.275128275643883,2.566495692676006e-07,42,from_best_two
8,"(11, 20, 28, 29, 35, 36, 39, 56)",9.454861742904336,1.3729520178369738e-07,47,from_best_two
9,"(11, 20, 28, 29, 35, 36, 39, 46, 56)",9.021133395235173,1.9224330410140546e-07,51,from_best_two
10,"(11, 14, 20, 28, 29, 35, 36, 39, 46, 56)",8.213559326566653,1.3295208585422124e-07,55,from_best_two
11,"(11, 14, 20, 24, 28, 29, 35, 36, 39, 46, 56)",8.075328740492699,1.7041320757645456e-07,59,from_best_two
12,"(11, 14, 20, 24, 28, 29, 34, 35, 36, 39, 46, 56)",3.526060885118592,1.3163344406335327e-08,62,from_best_two
13,"(11, 14, 20, 24, 28, 29, 34, 35, 36, 39, 46, 52, 56)",1.6315083191791822,0.0,64,from_best_two
14,"(11, 14, 20, 24, 27, 28, 29, 34, 35, 36, 39, 46, 52, 56)",0.45687454651074794,0.0,64,from_best_two
15,"(11, 14, 20, 24, 27, 28, 29, 34, 35, 36, 39, 42, 46, 52, 56)",0.20714740244447152,0.0,64,from_best_two
16,"(4, 11, 14, 20, 24, 27, 28, 29, 34, 35, 36, 39, 42, 46, 52, 56)",0.13649153951268264,0.0,64,from_best_two
