count,nodes,projected_energy,residual_norm,reachable_rank,trajectory
1,"(1,)",156.63609015258422,4.346176076282951e-05,7,from_empty
2,"(1, 8)",20.322623136929927,4.140985034257465e-06,13,from_empty
3,"(1, 8, 9)",2.8697091563983848,1.4471369073988617e-06,18,from_empty
4,"(1, 8, 9, 16)",2.0252714454308585,3.4405812453231563e-07,21,from_empty
5,"(1, 8, 9, 16, 49)",2.103964333755832,1.4208847618333954e-07,28,from_empty
6,"(1, 7, 8, 9, 16, 49)",1.964136571334274,1.0163868505258898e-07,34,from_empty
7,"(1, 7, 8, 9, 16, 18, 49)",1.0246683587582823,9.117309218401365e-08,39,from_empty
8,"(1, 7, 8, 9, 16, 18, 49, 58)",1.0137073303254838,5.5831347353644197e-08,44,from_empty
9,"(1, 3, 7, 8, 9, 16, 18, 49, 58)",0.048290266705744885,3.7108861468707836e-08,47,from_empty
10,"(1, 3, 7, 8, 9, 10, 16, 18, 49, 58)",0.00537602642545637,6.755722503468058e-09,49,from_empty
11,"(1, 3, 7, 8, 9, 10, 16, 18, 45, 49, 58)",0.003963710894604259,6.190888855193092e-09,54,from_empty
12,"(1, 3, 7, 8, 9, 10, 16, 18, 45, 49, 54, 58)",0.0039300195208326885,4.136587399366732e-09,58,from_empty
13,"(1, 3, 7, 8, 9, 10, 16, 18, 45, 49, 54, 58, 61)",0.003861658552704861,2.456080072704077e-09,62,from_empty
14,"(1, 3, 7, 8, 9, 10, 16, 18, 22, 45, 49, 54, 58, 61)",0.0018785799149941796,0.0,64,from_empty
15,"(1, 3, 7, 8, 9, 10, 12, 16, 18, 22, 45, 49, 54, 58, 61)",0.0005160312166190488,0.0,64,from_empty
16,"(1, 3, 7, 8, 9, 10, 12, 16, 18, 22, 26, 45, 49, 54, 58, 61)",0.00017150154539268607,0.0,64,from_empty
2,"(0, 9)",23.76996097353113,2.9000102415522646e-06,13,from_best_two
3,"(0, 5, 9)",9.007512139038674,6.229744541490615e-07,20,from_best_two
4,"(0, 2, 5, 9)",1.7346078121860427,3.7696632286240137e-07,25,from_best_two
5,"(0, 2, 5, 9, 17)",0.1473957686950463,1.2728469813625905e-07,30,from_best_two
6,"(0, 2, 5, 9, 17, 40)",0.14180692487438953,6.608131480967303e-08,36,from_best_two
7,"(0, 2, 5, 9, 17, 23, 40)",0.1371792381641409,4.249656636712076e-08,42,from_best_two
8,"(0, 2, 5, 9, 17, 23, 33, 40)",0.1352548784591169,2.7310806227756512e-08,46,from_best_two
9,"(0, 2, 5, 9, 17, 23, 33, 40, 53)",0.13334092724800123,1.862369914799926e-08,52,from_best_two
10,"(0, 2, 5, 8, 9, 17, 23, 33, 40, 53)",0.10512535501153898,2.7656966487877574e-08,52,from_best_two
11,"(0, 2, 5, 8, 9, 17, 18, 23, 33, 40, 53)",0.01041999250702301,1.667141285270437e-08,55,from_best_two
12,"(0, 2, 3, 5, 8, 9, 17, 18, 23, 33, 40, 53)",0.0030240256540106465,7.610347945350084e-09,55,from_best_two
13,"(0, 2, 3, 5, 8, 9, 17, 18, 23, 28, 33, 40, 53)",0.0028112863131798927,2.7448461276804863e-09,59,from_best_two
14,"(0, 2, 3, 5, 8, 9, 17, 18, 23, 28, 33, 40, 53, 60)",0.002800397030839653,6.882541247741988e-11,63,from_best_two
15,"(0, 2, 3, 5, 8, 9, 17, 18, 20, 23, 28, 33, 40, 53, 60)",0.0006952310371260515,0.0,64,from_best_two
16,"(0, 2, 3, 5, 8, 9, 11, 17, 18, 20, 23, 28, 33, 40, 53, 60)",0.00034440574493734845,0.0,64,from_best_two
