count,nodes,projected_energy,residual_norm,reachable_rank,trajectory
1,"(27,)",8750.985042385799,0.0003228566677846989,8,from_empty
2,"(27, 40)",13419.496673972579,0.00015609488180912958,15,from_empty
3,"(9, 27, 40)",9256.118637956799,5.413374525785207e-05,21,from_empty
4,"(9, 27, 40, 60)",727.4081669138615,2.001118024897814e-05,27,from_empty
5,"(9, 19, 27, 40, 60)",92.20527700775344,1.2864550326030771e-05,32,from_empty
6,"(8, 9, 19, 27, 40, 60)",42.659280043790126,5.660033715209338e-06,36,from_empty
7,"(8, 9, 19, 27, 34, 40, 60)",20.206688251978527,3.417868512945729e-06,41,from_empty
8,"(8, 9, 19, 27, 34, 40, 58, 60)",6.360086958242999,1.8013780708795398e-06,45,from_empty
9,"(8, 9, 19, 27, 34, 40, 48, 58, 60)",4.269723095457023,8.111744140020321e-07,48,from_empty
10,"(8, 9, 19, 21, 27, 34, 40, 48, 58, 60)",4.478360861779491,4.159905208889412e-07,52,from_empty
11,"(8, 9, 16, 19, 21, 27, 34, 40, 48, 58, 60)",2.5411845105088133,2.5662637528888537e-07,55,from_empty
12,"(8, 9, 16, 19, 21, 27, 34, 40, 41, 48, 58, 60)",0.7590844515561523,1.680577531038769e-07,58,from_empty
13,"(8, 9, 16, 19, 21, 27, 34, 40, 41, 48, 58, 60, 61)",0.7091793851866879,2.3723247491422565e-08,61,from_empty
14,"(8, 9, 16, 19, 21, 27, 34, 38, 40, 41, 48, 58, 60, 61)",0.5933106289808227,0.0,64,from_empty
15,"(8, 9, 12, 16, 19, 21, 27, 34, 38, 40, 41, 48, 58, 60, 61)",0.029684710929288254,0.0,64,from_empty
16,"(3, 8, 9, 12, 16, 19, 21, 27, 34, 38, 40, 41, 48, 58, 60, 61)",0.01553064494178937,0.0,64,from_empty
2,"(8, 41)",1790.89456455516,0.00013729422693928113,14,from_best_two
3,"(8, 41, 42)",537.8683878174671,2.3589591041117494e-05,20,from_best_two
4,"(8, 41, 42, 43)",679.1294607635238,9.40340770458985e-06,25,from_best_two
5,"(8, 11, 41, 42, 43)",54.660792978021135,6.365830177618515e-06,31,from_best_two
6,"(8, 11, 40, 41, 42, 43)",23.086755156350808,2.6019706805476112e-06,35,from_best_two
7,"(8, 11, 12, 40, 41, 42, 43)",10.93869685605212,1.5015779905181825e-06,39,from_best_two
8,"(8, 11, 12, 32, 40, 41, 42, 43)",13.888713212703845,9.754456597764128e-07,44,from_best_two
9,"(8, 11, 12, 19, 32, 40, 41, 42, 43)",14.675620561839056,5.536495081271826e-07,48,from_best_two
10,"(8, 11, 12, 19, 32, 40, 41, 42, 43, 58)",1.6382055332393644,3.6137648534735046e-07,51,from_best_two
11,"(8, 11, 12, 16, 19, 32, 40, 41, 42, 43, 58)",1.2958674156441392,1.5184427687375595e-07,54,from_best_two
12,"(8, 11, 12, 16, 19, 30, 32, 40, 41, 42, 43, 58)",1.2530627430979864,1.219613221393586e-07,58,from_best_two
13,"(8, 11, 12, 16, 19, 30, 32, 40, 41, 42, 43, 58, 59)",0.8461132574007652,7.426015929906486e-08,60,from_best_two
14,"(8, 11, 12, 14, 16, 19, 30, 32, 40, 41, 42, 43, 58, 59)",0.23964333094795087,2.5160834542407212e-08,63,from_best_two
15,"(7, 8, 11, 12, 14, 16, 19, 30, 32, 40, 41, 42, 43, 58, 59)",0.08222570514116098,0.0,64,from_best_two
16,"(7, 8, 11, 12, 14, 16, 19, 27, 30, 32, 40, 41, 42, 43, 58, 59)",0.014713506219331388,0.0,64,from_best_two
